title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,ratings_per_page,page_group,cluster,nome_cluster
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,eng,652,2095690,27591,2006-09-16,Scholastic Inc.,3214.2484662576685,501-700,2,"Cluster 2: Classificação Baixa, Poucas Páginas"
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,eng,870,2153167,29221,2004-09-01,Scholastic Inc.,2474.904597701149,701-1000,2,"Cluster 2: Classificação Baixa, Poucas Páginas"
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,eng,352,6333,244,2003-11-01,Scholastic,17.991477272727273,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,eng,435,2339585,36325,2004-05-01,Scholastic Inc.,5378.35632183908,301-500,2,"Cluster 2: Classificação Baixa, Poucas Páginas"
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,eng,2690,41428,164,2004-09-13,Scholastic,15.400743494423791,,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,eng,152,19,1,2005-04-26,Nimble Books,0.125,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,eng,3342,28242,808,2005-09-12,Scholastic,8.450628366247756,,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,3628,254,2005-11-01,Gramercy Books,4.451533742331288,701-1000,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,249558,4080,2002-04-30,Del Rey Books,306.20613496932515,701-1000,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,eng,215,4930,460,2004-08-03,Crown,22.930232558139537,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,eng,6,1266,253,2005-03-23,Random House Audio,211.0,0-100,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,2877,195,1996-01-17,Wings Books,3.5300613496932516,701-1000,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
A Short History of Nearly Everything,Bill Bryson,4.21,eng,544,248558,9396,2004-09-14,Broadway Books,456.90808823529414,501-700,1,"Cluster 1: Classificação Elevada, Muitas Páginas"
Bill Bryson's African Diary,Bill Bryson,3.44,eng,55,7270,499,2002-12-03,Broadway Books,132.1818181818182,0-100,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,eng,256,2088,131,2004-09-14,Broadway Books,8.15625,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
In a Sunburned Country,Bill Bryson,4.07,eng,335,72451,4245,2001-05-15,Broadway Books,216.27164179104477,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,eng,304,49240,2211,2000-06-28,Broadway Books,161.97368421052633,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,eng,299,45712,2257,1990-08-28,William Morrow Paperbacks,152.8829431438127,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Neither Here nor There: Travels in Europe,Bill Bryson,3.86,eng,254,48701,2238,1993-03-28,William Morrow Paperbacks,191.73622047244095,101-300,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
Notes from a Small Island,Bill Bryson,3.91,eng,324,80609,3301,1997-05-28,William Morrow Paperbacks,248.79320987654322,301-500,0,"Cluster 0: Classificação Moderada, Páginas Moderadas"
